Season Start,Season End,Team,player_height,Salary,Salary w/ Inflation
2008,2009,Atlanta Hawks,2989.58,68168841.0,79797863.0
2009,2010,Atlanta Hawks,2829.5599999999995,65883642.0,78239128.0
2010,2011,Atlanta Hawks,2844.8,71469843.0,83988250.0
2011,2012,Atlanta Hawks,3025.14,73669912.0,83598545.0
2012,2013,Atlanta Hawks,3197.86,66710178.0,74461791.0
2013,2014,Atlanta Hawks,3208.02,58998677.0,64718790.0
2014,2015,Atlanta Hawks,3009.9,58320278.0,62675759.0
2015,2016,Atlanta Hawks,3020.06,71661760.0,76918414.0
2016,2017,Atlanta Hawks,3609.34,96315163.0,102359377.0
2017,2018,Atlanta Hawks,3794.7599999999998,99992696.0,104559718.0
2012,2013,BKN,3408.6800000000003,79188973.0,92697938.0
2013,2014,BKN,3411.2200000000003,83552174.0,99221130.0
2014,2015,BKN,3233.4199999999996,82045867.0,96416732.0
2015,2016,BKN,3416.3000000000006,79820530.0,90578092.0
2016,2017,BKN,3604.2599999999998,75508399.0,84282350.0
2017,2018,BKN,3619.5000000000005,70885503.0,77758083.0
2008,2009,Boston Celtics,2981.96,62218516.0,66865124.0
2009,2010,Boston Celtics,2984.4999999999995,77141919.0,82800561.0
2010,2011,Boston Celtics,3215.64,93465326.0,99330698.0
2011,2012,Boston Celtics,3423.92,115284776.0,120550249.0
2012,2013,Boston Celtics,3413.7599999999998,62666523.0,73356896.0
2013,2014,Boston Celtics,3177.54,59366715.0,70500047.0
2014,2015,Boston Celtics,2781.3,58495989.0,68741936.0
2015,2016,Boston Celtics,2987.0400000000004,65281235.0,74079304.0
2016,2017,Boston Celtics,2979.42,87644649.0,97828818.0
2017,2018,Boston Celtics,3771.8999999999996,102589967.0,112536402.0
2008,2009,Brooklyn Nets,2827.0200000000004,87817289.0,94375678.0
2009,2010,Brooklyn Nets,3020.06,80258302.0,86145542.0
2010,2011,Brooklyn Nets,3393.4399999999996,82391482.0,87561919.0
2011,2012,Brooklyn Nets,4394.2,95475397.0,99836100.0
2008,2009,Charlotte Bobcats,3423.92,62866926.0,73591487.0
2009,2010,Charlotte Bobcats,3035.3000000000006,68681758.0,81561990.0
2010,2011,Charlotte Bobcats,3225.7999999999997,66542696.0,78198077.0
2011,2012,Charlotte Bobcats,3012.78,57902024.0,65705585.0
2012,2013,Charlotte Bobcats,3612.5600000000004,58122566.0,64876315.0
2013,2014,Charlotte Bobcats,2984.5,60395651.0,66251205.0
2014,2015,Charlotte Bobcats,3167.3800000000006,66792937.0,71781177.0
2015,2016,Charlotte Bobcats,3210.98,76860006.0,82497971.0
2016,2017,Charlotte Bobcats,3413.7600000000007,103054004.0,109521112.0
2017,2018,Charlotte Bobcats,3418.8399999999997,117382664.0,122743957.0
2008,2009,Chicago Bulls,2606.040000000001,68126774.0,79748621.0
2009,2010,Chicago Bulls,2987.04,69700359.0,82771612.0
2010,2011,Chicago Bulls,2809.24,54538076.0,64090771.0
2011,2012,Chicago Bulls,2796.54,69548447.0,78921621.0
2012,2013,Chicago Bulls,2799.08,74491280.0,83147049.0
2013,2014,Chicago Bulls,3200.4,73336893.0,80447143.0
2014,2015,Chicago Bulls,2821.9400000000005,67414682.0,72449358.0
2015,2016,Chicago Bulls,3030.2199999999993,87073838.0,93461027.0
2016,2017,Chicago Bulls,3185.16,92522306.0,98328502.0
2017,2018,Chicago Bulls,3804.9199999999996,90466801.0,94598740.0
2008,2009,Cleveland Cavaliers,3235.9599999999996,91298233.0,106872938.0
2009,2010,Cleveland Cavaliers,3017.52,83398534.0,99038674.0
2010,2011,Cleveland Cavaliers,3215.64,53990021.0,63446718.0
2011,2012,Cleveland Cavaliers,3205.48,64875599.0,73619002.0
2012,2013,Cleveland Cavaliers,3205.48,54472190.0,60801765.0
2013,2014,Cleveland Cavaliers,3611.88,66654061.0,73116388.0
2014,2015,Cleveland Cavaliers,3449.3199999999993,82592827.0,88761039.0
2015,2016,Cleveland Cavaliers,3406.140000000001,108300458.0,116244698.0
2016,2017,Cleveland Cavaliers,3832.8599999999997,128522489.0,136587864.0
2017,2018,Cleveland Cavaliers,3228.34,137722926.0,144013233.0
2008,2009,Dallas Mavericks,3017.5199999999995,95045559.0,111259524.0
2009,2010,Dallas Mavericks,2590.8,88916075.0,105590950.0
2010,2011,Dallas Mavericks,3014.98,85409890.0,100369985.0
2011,2012,Dallas Mavericks,3020.0600000000004,77180233.0,87581958.0
2012,2013,Dallas Mavericks,4152.900000000001,69766571.0,77873331.0
2013,2014,Dallas Mavericks,2974.34,75012158.0,82284830.0
2014,2015,Dallas Mavericks,3213.1,84820225.0,91154782.0
2015,2016,Dallas Mavericks,3040.38,75397067.0,80927720.0
2016,2017,Dallas Mavericks,3787.1400000000003,102354966.0,108778205.0
2017,2018,Dallas Mavericks,4249.420000000001,85440245.0,89342606.0
2008,2009,Denver Nuggets,2611.12,70121003.0,82083050.0
2009,2010,Denver Nuggets,2606.0400000000004,74935538.0,88988573.0
2010,2011,Denver Nuggets,2839.7200000000003,68019290.0,79933307.0
2011,2012,Denver Nuggets,3037.84,58553173.0,66444493.0
2012,2013,Denver Nuggets,3042.92,63444254.0,70816373.0
2013,2014,Denver Nuggets,2806.7,65782065.0,72159850.0
2014,2015,Denver Nuggets,3565.96,56820307.0,61063768.0
2015,2016,Denver Nuggets,3208.0199999999995,72589023.0,77913691.0
2016,2017,Denver Nuggets,3428.9999999999995,83836460.0,89097579.0
2017,2018,Denver Nuggets,3416.3,107543599.0,112455503.0
2008,2009,Detroit Pistons,2608.58,71434174.0,83620237.0
2009,2010,Detroit Pistons,2814.32,60185833.0,71472780.0
2010,2011,Detroit Pistons,2628.8999999999996,65517821.0,76993690.0
2011,2012,Detroit Pistons,2801.6200000000003,70923605.0,80482110.0
2012,2013,Detroit Pistons,2809.2400000000002,68807497.0,76802817.0
2013,2014,Detroit Pistons,2994.66,62387432.0,68436097.0
2014,2015,Detroit Pistons,2994.66,67410675.0,72445049.0
2015,2016,Detroit Pistons,3009.8999999999996,77256014.0,82923025.0
2016,2017,Detroit Pistons,3030.22,106492988.0,113175909.0
2017,2018,Detroit Pistons,3553.46,119773191.0,125243666.0
2008,2009,Golden State Warriors,3195.3199999999997,67416431.0,78917097.0
2009,2010,Golden State Warriors,3419.1800000000003,65352372.0,77608224.0
2010,2011,Golden State Warriors,2804.8400000000006,68415336.0,80398723.0
2011,2012,Golden State Warriors,3456.94,61576901.0,69875734.0
2012,2013,Golden State Warriors,2814.3199999999997,70036985.0,78175171.0
2013,2014,Golden State Warriors,2829.5600000000004,72503122.0,79532534.0
