Season Start,Season End,Team,GP,W,L,WIN%
2016,2017,Atlanta Hawks,82,43,39,0.524
2015,2016,Atlanta Hawks,82,48,34,0.585
2014,2015,Atlanta Hawks,82,60,22,0.732
2008,2009,Atlanta Hawks,82,47,35,0.573
2013,2014,Atlanta Hawks,82,38,44,0.46299999999999997
2012,2013,Atlanta Hawks,82,44,38,0.537
2009,2010,Atlanta Hawks,82,53,29,0.6459999999999999
2010,2011,Atlanta Hawks,82,44,38,0.537
2017,2018,Atlanta Hawks,82,24,58,0.293
2011,2012,Atlanta Hawks,66,40,26,0.606
2011,2012,Boston Celtics,66,39,27,0.591
2010,2011,Boston Celtics,82,56,26,0.6829999999999999
2009,2010,Boston Celtics,82,50,32,0.61
2012,2013,Boston Celtics,81,41,40,0.506
2013,2014,Boston Celtics,82,25,57,0.305
2016,2017,Boston Celtics,82,53,29,0.6459999999999999
2015,2016,Boston Celtics,82,48,34,0.585
2014,2015,Boston Celtics,82,40,42,0.488
2017,2018,Boston Celtics,82,55,27,0.6709999999999999
2008,2009,Boston Celtics,82,62,20,0.7559999999999999
2009,2010,Brooklyn Nets,82,12,70,0.146
2010,2011,Brooklyn Nets,82,24,58,0.293
2011,2012,Brooklyn Nets,66,22,44,0.33299999999999996
2008,2009,Brooklyn Nets,82,34,48,0.415
2015,2016,Brooklyn Nets,82,21,61,0.256
2014,2015,Brooklyn Nets,82,38,44,0.46299999999999997
2017,2018,Brooklyn Nets,82,28,54,0.341
2012,2013,Brooklyn Nets,82,49,33,0.598
2016,2017,Brooklyn Nets,82,20,62,0.244
2013,2014,Brooklyn Nets,82,44,38,0.537
2009,2010,Charlotte Bobcats,82,44,38,0.537
2012,2013,Charlotte Bobcats,82,21,61,0.256
2010,2011,Charlotte Bobcats,82,34,48,0.415
2008,2009,Charlotte Bobcats,82,35,47,0.42700000000000005
2013,2014,Charlotte Bobcats,82,43,39,0.524
2011,2012,Charlotte Bobcats,66,7,59,0.106
2017,2018,Charlotte Hornets,82,36,46,0.439
2016,2017,Charlotte Hornets,82,36,46,0.439
2014,2015,Charlotte Hornets,82,33,49,0.402
2015,2016,Charlotte Hornets,82,48,34,0.585
2010,2011,Chicago Bulls,82,62,20,0.7559999999999999
2009,2010,Chicago Bulls,82,41,41,0.5
2011,2012,Chicago Bulls,66,50,16,0.758
2013,2014,Chicago Bulls,82,48,34,0.585
2014,2015,Chicago Bulls,82,50,32,0.61
2008,2009,Chicago Bulls,82,41,41,0.5
2016,2017,Chicago Bulls,82,41,41,0.5
2017,2018,Chicago Bulls,82,27,55,0.32899999999999996
2015,2016,Chicago Bulls,82,42,40,0.512
2012,2013,Chicago Bulls,82,45,37,0.5489999999999999
2011,2012,Cleveland Cavaliers,66,21,45,0.318
2017,2018,Cleveland Cavaliers,82,50,32,0.61
2008,2009,Cleveland Cavaliers,82,66,16,0.805
2016,2017,Cleveland Cavaliers,82,51,31,0.622
2015,2016,Cleveland Cavaliers,82,57,25,0.695
