Season Start,Season End,Team,Salary,Salary w/ Inflation
2013,2014,Atlanta Hawks,58998677.0,64718790.0
2011,2012,Atlanta Hawks,73669912.0,83598545.0
2016,2017,Atlanta Hawks,96315163.0,102359377.0
2017,2018,Atlanta Hawks,99992696.0,104559718.0
2008,2009,Atlanta Hawks,68168841.0,79797863.0
2012,2013,Atlanta Hawks,66710178.0,74461791.0
2009,2010,Atlanta Hawks,65883642.0,78239128.0
2014,2015,Atlanta Hawks,58320278.0,62675759.0
2010,2011,Atlanta Hawks,71469843.0,83988250.0
2015,2016,Atlanta Hawks,71661760.0,76918414.0
2009,2010,Boston Celtics,83552174.0,99221130.0
2015,2016,Boston Celtics,77141919.0,82800561.0
2016,2017,Boston Celtics,93465326.0,99330698.0
2010,2011,Boston Celtics,82045867.0,96416732.0
2014,2015,Boston Celtics,62218516.0,66865124.0
2013,2014,Boston Celtics,70885503.0,77758083.0
2017,2018,Boston Celtics,115284776.0,120550249.0
2012,2013,Boston Celtics,75508399.0,84282350.0
2008,2009,Boston Celtics,79188973.0,92697938.0
2011,2012,Boston Celtics,79820530.0,90578092.0
2009,2010,Brooklyn Nets,59366715.0,70500047.0
2013,2014,Brooklyn Nets,102589967.0,112536402.0
2010,2011,Brooklyn Nets,58495989.0,68741936.0
2015,2016,Brooklyn Nets,80258302.0,86145542.0
2012,2013,Brooklyn Nets,87644649.0,97828818.0
2014,2015,Brooklyn Nets,87817289.0,94375678.0
2008,2009,Brooklyn Nets,62666523.0,73356896.0
2011,2012,Brooklyn Nets,65281235.0,74079304.0
2016,2017,Brooklyn Nets,82391482.0,87561919.0
2017,2018,Brooklyn Nets,95475397.0,99836100.0
2016,2017,Charlotte Bobcats,103054004.0,109521112.0
2013,2014,Charlotte Bobcats,60395651.0,66251205.0
2010,2011,Charlotte Bobcats,66542696.0,78198077.0
2014,2015,Charlotte Bobcats,66792937.0,71781177.0
2012,2013,Charlotte Bobcats,58122566.0,64876315.0
2009,2010,Charlotte Bobcats,68681758.0,81561990.0
2017,2018,Charlotte Bobcats,117382664.0,122743957.0
2015,2016,Charlotte Bobcats,76860006.0,82497971.0
2008,2009,Charlotte Bobcats,62866926.0,73591487.0
2011,2012,Charlotte Bobcats,57902024.0,65705585.0
2017,2018,Chicago Bulls,90466801.0,94598740.0
2011,2012,Chicago Bulls,69548447.0,78921621.0
2008,2009,Chicago Bulls,68126774.0,79748621.0
2009,2010,Chicago Bulls,69700359.0,82771612.0
2015,2016,Chicago Bulls,87073838.0,93461027.0
2010,2011,Chicago Bulls,54538076.0,64090771.0
2014,2015,Chicago Bulls,67414682.0,72449358.0
2016,2017,Chicago Bulls,92522306.0,98328502.0
2013,2014,Chicago Bulls,73336893.0,80447143.0
2012,2013,Chicago Bulls,74491280.0,83147049.0
2014,2015,Cleveland Cavaliers,82592827.0,88761039.0
2016,2017,Cleveland Cavaliers,128522489.0,136587864.0
2013,2014,Cleveland Cavaliers,66654061.0,73116388.0
2010,2011,Cleveland Cavaliers,53990021.0,63446718.0
2012,2013,Cleveland Cavaliers,54472190.0,60801765.0
2008,2009,Cleveland Cavaliers,91298233.0,106872938.0
2015,2016,Cleveland Cavaliers,108300458.0,116244698.0
2017,2018,Cleveland Cavaliers,137722926.0,144013233.0
2009,2010,Cleveland Cavaliers,83398534.0,99038674.0
2011,2012,Cleveland Cavaliers,64875599.0,73619002.0
2013,2014,Dallas Mavericks,75012158.0,82284830.0
2008,2009,Dallas Mavericks,95045559.0,111259524.0
2011,2012,Dallas Mavericks,77180233.0,87581958.0
2012,2013,Dallas Mavericks,69766571.0,77873331.0
