Season Start,Season End,Team,OPP_PTS,Salary,Salary w/ Inflation
2008,2009,Atlanta Hawks,96.5,68168841.0,79797863.0
2009,2010,Atlanta Hawks,97.0,65883642.0,78239128.0
2010,2011,Atlanta Hawks,95.8,71469843.0,83988250.0
2011,2012,Atlanta Hawks,93.2,73669912.0,83598545.0
2012,2013,Atlanta Hawks,97.5,66710178.0,74461791.0
2013,2014,Atlanta Hawks,101.5,58998677.0,64718790.0
2014,2015,Atlanta Hawks,97.1,58320278.0,62675759.0
2015,2016,Atlanta Hawks,99.2,71661760.0,76918414.0
2016,2017,Atlanta Hawks,104.0,96315163.0,102359377.0
2017,2018,Atlanta Hawks,108.8,99992696.0,104559718.0
2008,2009,Boston Celtics,93.4,79188973.0,92697938.0
2009,2010,Boston Celtics,95.6,83552174.0,99221130.0
2010,2011,Boston Celtics,91.1,82045867.0,96416732.0
2011,2012,Boston Celtics,89.3,79820530.0,90578092.0
2012,2013,Boston Celtics,96.7,75508399.0,84282350.0
2013,2014,Boston Celtics,100.7,70885503.0,77758083.0
2014,2015,Boston Celtics,101.2,62218516.0,66865124.0
2015,2016,Boston Celtics,102.5,77141919.0,82800561.0
2016,2017,Boston Celtics,105.4,93465326.0,99330698.0
2017,2018,Boston Celtics,100.4,115284776.0,120550249.0
2012,2013,Brooklyn Nets,95.1,62666523.0,73356896.0
2013,2014,Brooklyn Nets,99.5,59366715.0,70500047.0
2014,2015,Brooklyn Nets,100.9,58495989.0,68741936.0
2015,2016,Brooklyn Nets,106.0,65281235.0,74079304.0
2016,2017,Brooklyn Nets,112.5,87644649.0,97828818.0
2017,2018,Brooklyn Nets,110.3,102589967.0,112536402.0
2008,2009,Charlotte Bobcats,94.9,87817289.0,94375678.0
2009,2010,Charlotte Bobcats,93.8,80258302.0,86145542.0
2010,2011,Charlotte Bobcats,97.3,82391482.0,87561919.0
2011,2012,Charlotte Bobcats,100.9,95475397.0,99836100.0
2012,2013,Charlotte Bobcats,102.7,62866926.0,73591487.0
2013,2014,Charlotte Bobcats,97.1,68681758.0,81561990.0
2014,2015,Charlotte Hornets,97.3,66542696.0,78198077.0
2015,2016,Charlotte Hornets,100.7,57902024.0,65705585.0
2016,2017,Charlotte Hornets,104.7,58122566.0,64876315.0
2017,2018,Charlotte Hornets,108.0,60395651.0,66251205.0
2008,2009,Chicago Bulls,102.5,66792937.0,71781177.0
2009,2010,Chicago Bulls,99.1,76860006.0,82497971.0
2010,2011,Chicago Bulls,91.3,103054004.0,109521112.0
2011,2012,Chicago Bulls,88.2,117382664.0,122743957.0
2012,2013,Chicago Bulls,92.9,68126774.0,79748621.0
2013,2014,Chicago Bulls,91.8,69700359.0,82771612.0
2014,2015,Chicago Bulls,97.8,54538076.0,64090771.0
2015,2016,Chicago Bulls,103.1,69548447.0,78921621.0
2016,2017,Chicago Bulls,102.4,74491280.0,83147049.0
2017,2018,Chicago Bulls,110.0,73336893.0,80447143.0
2008,2009,Cleveland Cavaliers,91.4,67414682.0,72449358.0
2009,2010,Cleveland Cavaliers,95.6,87073838.0,93461027.0
2010,2011,Cleveland Cavaliers,104.5,92522306.0,98328502.0
2011,2012,Cleveland Cavaliers,100.2,90466801.0,94598740.0
2012,2013,Cleveland Cavaliers,101.2,91298233.0,106872938.0
2013,2014,Cleveland Cavaliers,101.5,83398534.0,99038674.0
2014,2015,Cleveland Cavaliers,98.7,53990021.0,63446718.0
2015,2016,Cleveland Cavaliers,98.3,64875599.0,73619002.0
2016,2017,Cleveland Cavaliers,107.2,54472190.0,60801765.0
2017,2018,Cleveland Cavaliers,109.9,66654061.0,73116388.0
2008,2009,Dallas Mavericks,99.8,82592827.0,88761039.0
2009,2010,Dallas Mavericks,99.3,108300458.0,116244698.0
2010,2011,Dallas Mavericks,96.0,128522489.0,136587864.0
2011,2012,Dallas Mavericks,94.8,137722926.0,144013233.0
2012,2013,Dallas Mavericks,101.7,95045559.0,111259524.0
2013,2014,Dallas Mavericks,102.4,88916075.0,105590950.0
2014,2015,Dallas Mavericks,102.3,85409890.0,100369985.0
2015,2016,Dallas Mavericks,102.6,77180233.0,87581958.0
2016,2017,Dallas Mavericks,100.8,69766571.0,77873331.0
2017,2018,Dallas Mavericks,105.4,75012158.0,82284830.0
2008,2009,Denver Nuggets,100.9,84820225.0,91154782.0
2009,2010,Denver Nuggets,102.4,75397067.0,80927720.0
2010,2011,Denver Nuggets,102.7,102354966.0,108778205.0
2011,2012,Denver Nuggets,101.2,85440245.0,89342606.0
2012,2013,Denver Nuggets,101.1,70121003.0,82083050.0
2013,2014,Denver Nuggets,106.5,74935538.0,88988573.0
2014,2015,Denver Nuggets,105.0,68019290.0,79933307.0
2015,2016,Denver Nuggets,105.0,58553173.0,66444493.0
2016,2017,Denver Nuggets,111.2,63444254.0,70816373.0
2017,2018,Denver Nuggets,108.5,65782065.0,72159850.0
2008,2009,Detroit Pistons,94.7,56820307.0,61063768.0
2009,2010,Detroit Pistons,99.1,72589023.0,77913691.0
2010,2011,Detroit Pistons,100.6,83836460.0,89097579.0
2011,2012,Detroit Pistons,95.7,107543599.0,112455503.0
2012,2013,Detroit Pistons,98.8,71434174.0,83620237.0
2013,2014,Detroit Pistons,104.7,60185833.0,71472780.0
2014,2015,Detroit Pistons,99.5,65517821.0,76993690.0
2015,2016,Detroit Pistons,101.4,70923605.0,80482110.0
2016,2017,Detroit Pistons,102.5,68807497.0,76802817.0
2017,2018,Detroit Pistons,103.9,62387432.0,68436097.0
2008,2009,Golden State Warriors,112.3,67410675.0,72445049.0
2009,2010,Golden State Warriors,112.4,77256014.0,82923025.0
2010,2011,Golden State Warriors,105.7,106492988.0,113175909.0
2011,2012,Golden State Warriors,101.2,119773191.0,125243666.0
2012,2013,Golden State Warriors,100.3,67416431.0,78917097.0
2013,2014,Golden State Warriors,99.5,65352372.0,77608224.0
2014,2015,Golden State Warriors,99.9,68415336.0,80398723.0
2015,2016,Golden State Warriors,104.1,61576901.0,69875734.0
2016,2017,Golden State Warriors,104.3,70036985.0,78175171.0
2017,2018,Golden State Warriors,107.5,72503122.0,79532534.0
2008,2009,Houston Rockets,94.4,73611166.0,79108608.0
2009,2010,Houston Rockets,102.7,93669566.0,100540577.0
2010,2011,Houston Rockets,103.7,101584835.0,107959743.0
2011,2012,Houston Rockets,97.9,137610134.0,143895289.0
2012,2013,Houston Rockets,102.5,73302272.0,85807014.0
2013,2014,Houston Rockets,103.1,69095315.0,82053099.0
2014,2015,Houston Rockets,100.5,72315654.0,84982206.0
2015,2016,Houston Rockets,106.4,57021755.0,64706681.0
2016,2017,Houston Rockets,109.6,48048265.0,53631389.0
2017,2018,Houston Rockets,103.9,57823063.0,63429195.0
2008,2009,Indiana Pacers,106.2,76849302.0,82588574.0
2009,2010,Indiana Pacers,103.8,87504058.0,93922804.0
2010,2011,Indiana Pacers,100.9,90956067.0,96663975.0
2011,2012,Indiana Pacers,94.4,119905532.0,125382049.0
2012,2013,Indiana Pacers,90.7,69668818.0,81553724.0
2013,2014,Indiana Pacers,92.3,66733257.0,79248074.0
2014,2015,Indiana Pacers,97.0,65088630.0,76489322.0
2015,2016,Indiana Pacers,100.5,51554083.0,58502121.0
2016,2017,Indiana Pacers,105.3,66107195.0,73788745.0
2017,2018,Indiana Pacers,104.2,67182414.0,73695967.0
2015,2016,LA Clippers,100.2,74793526.0,80379271.0
2016,2017,LA Clippers,104.4,71605233.0,76857739.0
2017,2018,LA Clippers,109.0,90279072.0,95944493.0
2008,2009,Los Angeles Clippers,103.9,95271736.0,99623136.0
2009,2010,Los Angeles Clippers,102.1,62764206.0,73471242.0
2010,2011,Los Angeles Clippers,101.8,61616409.0,73171636.0
2011,2012,Los Angeles Clippers,95.0,53225329.0,62548088.0
2012,2013,Los Angeles Clippers,94.6,67333389.0,76408033.0
2013,2014,Los Angeles Clippers,101.0,69152721.0,77188154.0
2014,2015,Los Angeles Clippers,100.1,73049774.0,80132187.0
