Season_Start,Season End,Team,Team_ID,TEAM_PTS,OPP_PTS,Salary,Salary w/ Inflation
2008,2009,Atlanta Hawks,ATL,98.1,96.5,68168841,79797863
2009,2010,Atlanta Hawks,ATL,101.7,97,65883642,78239128
2010,2011,Atlanta Hawks,ATL,95,95.8,71469843,83988250
2011,2012,Atlanta Hawks,ATL,96.6,93.2,73669912,83598545
2012,2013,Atlanta Hawks,ATL,98,97.5,66710178,74461791
2013,2014,Atlanta Hawks,ATL,101,101.5,58998677,64718790
2014,2015,Atlanta Hawks,ATL,102.5,97.1,58320278,62675759
2015,2016,Atlanta Hawks,ATL,102.8,99.2,71661760,76918414
2016,2017,Atlanta Hawks,ATL,103.2,104,96315163,102359377
2017,2018,Atlanta Hawks,ATL,103.4,108.8,99992696,104559718
2008,2009,Boston Celtics,BOS,100.9,93.4,79188973,92697938
2009,2010,Boston Celtics,BOS,99.2,95.6,83552174,99221130
2010,2011,Boston Celtics,BOS,96.5,91.1,82045867,96416732
2011,2012,Boston Celtics,BOS,91.8,89.3,79820530,90578092
2012,2013,Boston Celtics,BOS,96.5,96.7,75508399,84282350
2013,2014,Boston Celtics,BOS,96.2,100.7,70885503,77758083
2014,2015,Boston Celtics,BOS,101.4,101.2,62218516,66865124
2015,2016,Boston Celtics,BOS,105.7,102.5,77141919,82800561
2016,2017,Boston Celtics,BOS,108,105.4,93465326,99330698
2017,2018,Boston Celtics,BOS,104,100.4,115284776,120550249
2012,2013,Brooklyn Nets,BKN,96.9,95.1,62666523,73356896
2013,2014,Brooklyn Nets,BKN,98.5,99.5,59366715,70500047
2014,2015,Brooklyn Nets,BKN,98,100.9,58495989,68741936
2015,2016,Brooklyn Nets,BKN,98.6,106,65281235,74079304
2016,2017,Brooklyn Nets,BKN,105.8,112.5,87644649,97828818
2017,2018,Brooklyn Nets,BKN,106.6,110.3,102589967,112536402
2008,2009,Charlotte Bobcats,CHA,93.6,94.9,87817289,94375678
2009,2010,Charlotte Bobcats,CHA,95.3,93.8,80258302,86145542
2010,2011,Charlotte Bobcats,CHA,93.3,97.3,82391482,87561919
2011,2012,Charlotte Bobcats,CHA,87,100.9,95475397,99836100
2012,2013,Charlotte Bobcats,CHA,93.4,102.7,62866926,73591487
2013,2014,Charlotte Bobcats,CHA,96.9,97.1,68681758,81561990
2014,2015,Charlotte Hornets,CHA,94.2,97.3,66542696,78198077
2015,2016,Charlotte Hornets,CHA,103.4,100.7,57902024,65705585
2016,2017,Charlotte Hornets,CHA,104.9,104.7,58122566,64876315
2017,2018,Charlotte Hornets,CHA,108.2,108,60395651,66251205
2008,2009,Chicago Bulls,CHI,102.2,102.5,66792937,71781177
2009,2010,Chicago Bulls,CHI,97.5,99.1,76860006,82497971
