Team,Salary w/ Inflation
Atlanta Hawks,81131763.5
Boston Celtics,91050095.7
Brooklyn Nets,86496264.2
Charlotte Bobcats,81672887.6
Chicago Bulls,82796444.4
Cleveland Cavaliers,96250231.9
Dallas Mavericks,93516389.1
Denver Nuggets,80095618.7
Detroit Pistons,85159538.0
Golden State Warriors,89601170.0
Houston Rockets,83316698.6
Indiana Pacers,79608259.2
Los Angeles Clippers,88517289.4
Los Angeles Lakers,97433931.8
Memphis Grizzlies,84842835.2
Miami Heat,93263087.5
Milwaukee Bucks,80776356.5
Minnesota Timberwolves,78835111.3
New Orleans Hornets,87245551.8
New York Knicks,95450864.3
Oklahoma City Thunder,86511325.2
Orlando Magic,86817087.7
Philadelphia 76ers,76808600.1
Phoenix Suns,78489172.1
Portland Trail Blazers,86734789.2
Sacramento Kings,75596971.9
San Antonio Spurs,89564778.3
Toronto Raptors,86278361.9
Utah Jazz,78260428.1
Washington Wizards,84867145.5
