Season,Team,DREB,REB,AST,TOV,STL,BLK,BLKA
2019-20,Atlanta Hawks,33.4,43.3,24,16.2,7.8,5.1,6.4
2019-20,Boston Celtics,35.4,46.1,23,13.8,8.3,5.6,5.5
2019-20,Brooklyn Nets,37.3,47.9,24.5,15.3,6.4,4.5,5.3
2019-20,Charlotte Hornets,31.8,42.8,23.8,14.6,6.6,4.1,5
2019-20,Chicago Bulls,31.4,41.9,23.2,15.5,10,4.1,5.9
2019-20,Cleveland Cavaliers,33.4,44.2,23.1,16.5,6.9,3.2,6.3
2019-20,Dallas Mavericks,36.4,46.9,24.7,12.7,6.1,4.8,4.1
2019-20,Denver Nuggets,33.4,44.1,26.7,13.8,8,4.6,4.4
2019-20,Detroit Pistons,32,41.7,24.1,15.3,7.4,4.5,5.6
2019-20,Golden State Warriors,32.9,42.8,25.6,14.9,8.2,4.6,4.9
2019-20,Houston Rockets,34.5,44.3,21.6,14.7,8.7,5.2,4.9
2019-20,Indiana Pacers,34.1,42.8,25.9,13.2,7.4,5.2,4.6
2019-20,LA Clippers,37,47.7,23.7,14.6,7.1,4.7,4.7
2019-20,Los Angeles Lakers,35.1,45.7,25.4,15.2,8.6,6.6,3.7
2019-20,Memphis Grizzlies,36.2,46.5,26.9,15.2,7.9,5.5,5.3
2019-20,Miami Heat,35.9,44.4,25.9,14.9,7.5,4.5,4.1
2019-20,Milwaukee Bucks,42.2,51.7,25.9,15.1,7.2,5.9,4.5
2019-20,Minnesota Timberwolves,34.3,44.8,23.8,15.3,8.7,5.7,5.5
2019-20,New Orleans Pelicans,35.4,46.5,26.8,16.4,7.5,5,4.8
2019-20,New York Knicks,34.5,46.5,22.1,14.3,7.6,4.7,5
2019-20,Oklahoma City Thunder,34.7,42.9,21.7,13.7,7.6,4.9,4
2019-20,Orlando Magic,34.2,44.5,23.9,12.8,8.2,5.4,4.6
2019-20,Philadelphia 76ers,35,45.4,25.8,14.2,8,5.3,4
2019-20,Phoenix Suns,33.8,43.5,27.2,14.8,7.7,4,5.5
2019-20,Portland Trail Blazers,35.1,45.3,20.6,12.8,6.3,6.1,4.9
2019-20,Sacramento Kings,32.9,42.6,23.8,14.5,7.7,4.1,4.2
2019-20,San Antonio Spurs,35.6,44.6,24.7,12.6,7.3,5.5,4.3
2019-20,Toronto Raptors,35.9,45.4,25.2,14.8,8.8,5,5.5
2019-20,Utah Jazz,35.8,44.9,22.4,15.1,6.1,4.1,4.6
2019-20,Washington Wizards,31.9,42,25,14.2,8,4.3,5
2018-19,Washington Wizards,32.7,42.4,26.3,14.1,8.3,4.6,4.6
2018-19,Utah Jazz,36.4,46.4,26,15.1,8.1,5.9,4.6
2018-19,Toronto Raptors,35.6,45.2,25.4,14,8.3,5.3,4.5
2018-19,San Antonio Spurs,35.5,44.7,24.5,12.1,6.1,4.7,4
2018-19,Sacramento Kings,34.4,45.4,25.4,13.4,8.3,4.4,5.1
2018-19,Portland Trail Blazers,36.2,48,23,13.8,6.7,5,5.1
2018-19,Phoenix Suns,31.3,40.4,23.9,15.6,9,5.1,5
2018-19,Philadelphia 76ers,36.9,47.8,26.9,14.9,7.4,5.3,4.1
2018-19,Orlando Magic,35.4,45.4,25.5,13.2,6.6,5.4,4.4
2018-19,Oklahoma City Thunder,35.5,48.1,23.4,14,9.3,5.2,5.1
2018-19,New York Knicks,34.3,44.7,20.1,14,6.8,5.1,5.6
2018-19,New Orleans Pelicans,36.2,47.3,27,14.8,7.4,5.4,5.4
2018-19,Minnesota Timberwolves,33.5,44.8,24.6,13.1,8.3,5,5.5
2018-19,Milwaukee Bucks,40.4,49.7,26,13.9,7.5,5.9,4.8
2018-19,Miami Heat,35.1,46.3,24.3,14.7,7.6,5.5,4.7
2018-19,Memphis Grizzlies,33,41.8,23.9,14,8.3,5.5,4.9
2018-19,Los Angeles Lakers,36.4,46.6,25.6,15.7,7.5,5.4,5.1
2018-19,LA Clippers,35.8,45.5,24,14.5,6.8,4.7,6.1
2018-19,Indiana Pacers,33.7,43,26,13.7,8.7,4.9,5.2
2018-19,Houston Rockets,31.9,42.1,21.2,13.3,8.5,4.9,4.5
2018-19,Golden State Warriors,36.5,46.2,29.4,14.3,7.6,6.4,3.6
2018-19,Detroit Pistons,33.6,45,22.5,13.8,6.9,4,5.1
2018-19,Denver Nuggets,34.5,46.4,27.4,13.4,7.7,4.4,5
2018-19,Dallas Mavericks,35.2,45.3,23.4,14.2,6.5,4.3,4.5
2018-19,Cleveland Cavaliers,31.9,42.7,20.7,13.5,6.5,2.4,5.6
2018-19,Chicago Bulls,34.1,42.9,21.9,14.1,7.4,4.3,5.8
2018-19,Charlotte Hornets,33.9,43.8,23.2,12.2,7.2,4.9,6
2018-19,Brooklyn Nets,35.6,46.6,23.8,15.1,6.6,4.1,5.3
2018-19,Boston Celtics,34.7,44.5,26.3,12.8,8.6,5.3,3.9
2018-19,Atlanta Hawks,34.5,46.1,25.8,17,8.2,5.1,5.5
2017-18,Atlanta Hawks,32.8,41.9,23.7,15.5,7.8,4.2,5.5
2017-18,Boston Celtics,35.1,44.5,22.5,14,7.4,4.5,4.4
2017-18,Brooklyn Nets,34.8,44.4,23.7,15.2,6.2,4.8,5.5
2017-18,Charlotte Hornets,35.4,45.5,21.6,12.7,6.8,4.5,4.9
2017-18,Chicago Bulls,35,44.7,23.5,14,7.6,3.5,5.2
2017-18,Cleveland Cavaliers,33.7,42.1,23.4,13.7,7.1,3.8,4.1
2017-18,Dallas Mavericks,33.1,41.3,22.7,12.3,7,3.8,4.5
2017-18,Denver Nuggets,33.5,44.5,25.1,15,7.6,4.9,4.8
2017-18,Detroit Pistons,33.6,43.7,22.8,13.4,7.7,3.9,4.9
2017-18,Golden State Warriors,35.1,43.5,29.3,15.4,8,7.5,3.7
2017-18,Houston Rockets,34.5,43.5,21.5,13.8,8.5,4.8,4.4
2017-18,Indiana Pacers,32.7,42.3,22.2,13.3,8.8,4.1,5.2
2017-18,LA Clippers,33.7,43.9,22.3,14.7,7.7,4.5,5.6
2017-18,Los Angeles Lakers,35.7,46.4,23.8,15.8,7.7,4.7,5.5
2017-18,Memphis Grizzlies,31,40.5,21.5,15,7.5,4.8,5.1
2017-18,Miami Heat,34.2,43.5,22.7,14.4,7.6,5.3,4.6
2017-18,Milwaukee Bucks,31.5,39.8,23.2,13.8,8.8,5.4,4.5
2017-18,Minnesota Timberwolves,31.6,42,22.7,12.5,8.4,4.2,4.7
2017-18,New Orleans Pelicans,35.6,44.3,26.8,14.9,8,5.9,4.2
2017-18,New York Knicks,33.6,44,23.3,14.7,6.7,5.1,4.7
2017-18,Oklahoma City Thunder,32.6,45.1,21.3,14,9.1,5,4.6
2017-18,Orlando Magic,32.8,41.6,23.4,14.5,7.6,4.9,4.9
2017-18,Philadelphia 76ers,36.5,47.4,27.1,16.5,8.3,5.1,5.1
2017-18,Phoenix Suns,33.9,44.1,21.3,15.7,6.9,4.5,6
2017-18,Portland Trail Blazers,35.3,45.5,19.5,13.5,7,5.2,5.1
2017-18,Sacramento Kings,31.4,40.9,21.6,13.7,7.8,4.1,4.7
2017-18,San Antonio Spurs,33.9,44.2,22.8,13.1,7.7,5.6,3.9
2017-18,Toronto Raptors,34.2,44,24.3,13.4,7.6,6.1,4.9
2017-18,Utah Jazz,34.2,43.3,22.4,14.7,8.6,5.1,4.6
2017-18,Washington Wizards,33.1,43.1,25.2,14.6,7.9,4.3,4.7
2016-17,Washington Wizards,32.6,42.9,23.9,14.2,8.5,4.1,4.6
2016-17,Utah Jazz,33.8,43.2,20.1,13.6,6.7,5,3.8
2016-17,Toronto Raptors,32.6,43.3,18.5,12.7,8.3,4.9,4.8
2016-17,San Antonio Spurs,33.9,43.9,23.8,13.4,8,5.9,4.1
2016-17,Sacramento Kings,32.3,41.1,22.5,14.6,7.6,4,5.1
2016-17,Portland Trail Blazers,33.5,43.7,21.1,13.7,7,5,5.3
2016-17,Phoenix Suns,33.1,45,19.6,15.4,8.2,4.9,5.3
2016-17,Philadelphia 76ers,33,42.8,23.8,16.7,8.4,5.1,5.4
2016-17,Orlando Magic,33.3,43.2,22.2,13.3,7.1,4.8,5.1
2016-17,Oklahoma City Thunder,34.4,46.6,21,15,7.9,5,5.5
2016-17,New York Knicks,33.2,45.2,21.8,13.9,7.1,5.5,4.6
2016-17,New Orleans Pelicans,35.1,43.7,22.8,12.9,7.8,5.5,4.2
2016-17,Minnesota Timberwolves,31,42.4,23.7,14,8,4.5,5
2016-17,Milwaukee Bucks,31.6,40.4,24.2,14,8.1,5.3,4.6
2016-17,Miami Heat,33,43.6,21.2,13.4,7.2,5.7,4.9
2016-17,Memphis Grizzlies,32,42.8,21.3,12.9,8,4.2,5
