Season,Team,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB
2019-20,Atlanta Hawks,111.8,40.6,90.6,44.9,12,36.1,33.3,18.5,23.4,79,9.9
2019-20,Boston Celtics,113.7,41.3,89.6,46.1,12.6,34.5,36.4,18.6,23.2,80.1,10.7
2019-20,Brooklyn Nets,111.8,40.4,90.3,44.8,13.1,38.1,34.3,17.9,24.1,74.5,10.6
2019-20,Charlotte Hornets,102.9,37.3,85.9,43.4,12.1,34.3,35.2,16.2,21.6,74.8,11
2019-20,Chicago Bulls,106.8,39.6,88.6,44.7,12.2,35.1,34.8,15.5,20.5,75.5,10.5
2019-20,Cleveland Cavaliers,106.9,40.3,87.9,45.8,11.2,31.8,35.1,15.1,19.9,75.8,10.8
2019-20,Dallas Mavericks,117,41.7,90.3,46.1,15.1,41.3,36.7,18.6,23.8,77.9,10.5
2019-20,Denver Nuggets,111.3,42,88.9,47.3,11,30.6,35.9,16.2,20.9,77.7,10.8
2019-20,Detroit Pistons,107.2,39.3,85.7,45.9,12,32.7,36.7,16.6,22.4,74.3,9.8
2019-20,Golden State Warriors,106.3,38.6,88.2,43.8,10.4,31.3,33.4,18.7,23.2,80.3,10
2019-20,Houston Rockets,117.8,40.8,90.4,45.1,15.6,45.3,34.5,20.6,26.1,79.1,9.8
2019-20,Indiana Pacers,109.4,42.1,88.5,47.6,10.2,28,36.3,15,19.1,78.7,8.7
2019-20,LA Clippers,116.3,41.6,89.2,46.6,12.4,33.5,37.1,20.8,26.3,79.1,10.7
2019-20,Los Angeles Lakers,113.4,42.3,88.3,48,11,31.6,34.9,17.7,24.3,72.9,10.7
2019-20,Memphis Grizzlies,112.6,42.5,90.9,46.8,10.9,31.5,34.7,16.6,21.8,76.3,10.3
2019-20,Miami Heat,112,39.5,84.4,46.8,13.4,35.4,37.9,19.7,25.2,78.3,8.5
2019-20,Milwaukee Bucks,118.7,43.3,90.9,47.6,13.8,38.9,35.5,18.3,24.7,74.2,9.5
2019-20,Minnesota Timberwolves,113.3,40.4,91.6,44.1,13.3,39.7,33.6,19.1,25.4,75.3,10.5
2019-20,New Orleans Pelicans,115.8,42.6,91.6,46.5,13.6,36.9,37,17.1,23.4,72.9,11.1
2019-20,New York Knicks,105.8,40,89.3,44.7,9.6,28.4,33.7,16.3,23.5,69.4,12
2019-20,Oklahoma City Thunder,110.4,40,85.5,46.8,10.7,30.2,35.5,19.8,24.8,79.6,8.2
2019-20,Orlando Magic,107.3,39.3,88.6,44.4,11.1,32.2,34.3,17.6,22.7,77.4,10.3
2019-20,Philadelphia 76ers,110.7,41.1,87.9,46.8,11.6,31.6,36.8,16.9,22.4,75.5,10.5
2019-20,Phoenix Suns,113.6,41.2,88.1,46.8,11.4,31.8,35.8,19.9,23.8,83.4,9.8
2019-20,Portland Trail Blazers,115,42.2,91.2,46.3,12.9,34.1,37.7,17.7,22.1,80.4,10.2
