Season,Team,GP,W,L,WIN%
2019-20,Atlanta Hawks,67,20,47,0.299
2019-20,Boston Celtics,72,48,24,0.667
2019-20,Brooklyn Nets,72,35,37,0.486
2019-20,Charlotte Hornets,65,23,42,0.354
2019-20,Chicago Bulls,65,22,43,0.338
2019-20,Cleveland Cavaliers,65,19,46,0.292
2019-20,Dallas Mavericks,75,43,32,0.573
2019-20,Denver Nuggets,73,46,27,0.63
2019-20,Detroit Pistons,66,20,46,0.303
2019-20,Golden State Warriors,65,15,50,0.231
2019-20,Houston Rockets,72,44,28,0.611
2019-20,Indiana Pacers,73,45,28,0.616
2019-20,LA Clippers,72,49,23,0.681
2019-20,Los Angeles Lakers,71,52,19,0.732
2019-20,Memphis Grizzlies,73,34,39,0.466
2019-20,Miami Heat,73,44,29,0.603
2019-20,Milwaukee Bucks,73,56,17,0.767
2019-20,Minnesota Timberwolves,64,19,45,0.297
2019-20,New Orleans Pelicans,72,30,42,0.417
2019-20,New York Knicks,66,21,45,0.318
2019-20,Oklahoma City Thunder,72,44,28,0.611
2019-20,Orlando Magic,73,33,40,0.452
2019-20,Philadelphia 76ers,73,43,30,0.589
2019-20,Phoenix Suns,73,34,39,0.466
2019-20,Portland Trail Blazers,74,35,39,0.473
2019-20,Sacramento Kings,72,31,41,0.431
2019-20,San Antonio Spurs,71,32,39,0.451
2019-20,Toronto Raptors,72,53,19,0.736
2019-20,Utah Jazz,72,44,28,0.611
2019-20,Washington Wizards,72,25,47,0.347
2018-19,Washington Wizards,82,32,50,0.39
2018-19,Utah Jazz,82,50,32,0.61
2018-19,Toronto Raptors,82,58,24,0.707
2018-19,San Antonio Spurs,82,48,34,0.585
2018-19,Sacramento Kings,82,39,43,0.476
2018-19,Portland Trail Blazers,82,53,29,0.646
2018-19,Phoenix Suns,82,19,63,0.232
2018-19,Philadelphia 76ers,82,51,31,0.622
2018-19,Orlando Magic,82,42,40,0.512
2018-19,Oklahoma City Thunder,82,49,33,0.598
2018-19,New York Knicks,82,17,65,0.207
2018-19,New Orleans Pelicans,82,33,49,0.402
2018-19,Minnesota Timberwolves,82,36,46,0.439
2018-19,Milwaukee Bucks,82,60,22,0.732
2018-19,Miami Heat,82,39,43,0.476
2018-19,Memphis Grizzlies,82,33,49,0.402
2018-19,Los Angeles Lakers,82,37,45,0.451
2018-19,LA Clippers,82,48,34,0.585
2018-19,Indiana Pacers,82,48,34,0.585
2018-19,Houston Rockets,82,53,29,0.646
2018-19,Golden State Warriors,82,57,25,0.695
2018-19,Detroit Pistons,82,41,41,0.5
2018-19,Denver Nuggets,82,54,28,0.659
2018-19,Dallas Mavericks,82,33,49,0.402
2018-19,Cleveland Cavaliers,82,19,63,0.232
2018-19,Chicago Bulls,82,22,60,0.268
2018-19,Charlotte Hornets,82,39,43,0.476
2018-19,Brooklyn Nets,82,42,40,0.512
2018-19,Boston Celtics,82,49,33,0.598
2018-19,Atlanta Hawks,82,29,53,0.354
2017-18,Atlanta Hawks,82,24,58,0.293
2017-18,Boston Celtics,82,55,27,0.671
2017-18,Brooklyn Nets,82,28,54,0.341
2017-18,Charlotte Hornets,82,36,46,0.439
2017-18,Chicago Bulls,82,27,55,0.329
2017-18,Cleveland Cavaliers,82,50,32,0.61
2017-18,Dallas Mavericks,82,24,58,0.293
2017-18,Denver Nuggets,82,46,36,0.561
2017-18,Detroit Pistons,82,39,43,0.476
2017-18,Golden State Warriors,82,58,24,0.707
2017-18,Houston Rockets,82,65,17,0.793
2017-18,Indiana Pacers,82,48,34,0.585
2017-18,LA Clippers,82,42,40,0.512
2017-18,Los Angeles Lakers,82,35,47,0.427
2017-18,Memphis Grizzlies,82,22,60,0.268
2017-18,Miami Heat,82,44,38,0.537
2017-18,Milwaukee Bucks,82,44,38,0.537
2017-18,Minnesota Timberwolves,82,47,35,0.573
2017-18,New Orleans Pelicans,82,48,34,0.585
2017-18,New York Knicks,82,29,53,0.354
2017-18,Oklahoma City Thunder,82,48,34,0.585
2017-18,Orlando Magic,82,25,57,0.305
2017-18,Philadelphia 76ers,82,52,30,0.634
2017-18,Phoenix Suns,82,21,61,0.256
2017-18,Portland Trail Blazers,82,49,33,0.598
2017-18,Sacramento Kings,82,27,55,0.329
2017-18,San Antonio Spurs,82,47,35,0.573
2017-18,Toronto Raptors,82,59,23,0.72
2017-18,Utah Jazz,82,48,34,0.585
2017-18,Washington Wizards,82,43,39,0.524
2016-17,Washington Wizards,82,49,33,0.598
2016-17,Utah Jazz,82,51,31,0.622
2016-17,Toronto Raptors,82,51,31,0.622
2016-17,San Antonio Spurs,82,61,21,0.744
2016-17,Sacramento Kings,82,32,50,0.39
2016-17,Portland Trail Blazers,82,41,41,0.5
2016-17,Phoenix Suns,82,24,58,0.293
2016-17,Philadelphia 76ers,82,28,54,0.341
2016-17,Orlando Magic,82,29,53,0.354
2016-17,Oklahoma City Thunder,82,47,35,0.573
2016-17,New York Knicks,82,31,51,0.378
2016-17,New Orleans Pelicans,82,34,48,0.415
2016-17,Minnesota Timberwolves,82,31,51,0.378
2016-17,Milwaukee Bucks,82,42,40,0.512
2016-17,Miami Heat,82,41,41,0.5
2016-17,Memphis Grizzlies,82,43,39,0.524
2016-17,Los Angeles Lakers,82,26,56,0.317
2016-17,LA Clippers,82,51,31,0.622
2016-17,Indiana Pacers,82,42,40,0.512
2016-17,Houston Rockets,82,55,27,0.671
2016-17,Golden State Warriors,82,67,15,0.817
2016-17,Detroit Pistons,82,37,45,0.451
2016-17,Denver Nuggets,82,40,42,0.488
2016-17,Dallas Mavericks,82,33,49,0.402
2016-17,Cleveland Cavaliers,82,51,31,0.622
2016-17,Chicago Bulls,82,41,41,0.5
2016-17,Charlotte Hornets,82,36,46,0.439
2016-17,Brooklyn Nets,82,20,62,0.244
2016-17,Boston Celtics,82,53,29,0.646
2016-17,Atlanta Hawks,82,43,39,0.524
2015-16,Atlanta Hawks,82,48,34,0.585
2015-16,Boston Celtics,82,48,34,0.585
2015-16,Brooklyn Nets,82,21,61,0.256
2015-16,Charlotte Hornets,82,48,34,0.585
2015-16,Chicago Bulls,82,42,40,0.512
2015-16,Cleveland Cavaliers,82,57,25,0.695
2015-16,Dallas Mavericks,82,42,40,0.512
2015-16,Denver Nuggets,82,33,49,0.402
2015-16,Detroit Pistons,82,44,38,0.537
2015-16,Golden State Warriors,82,73,9,0.89
2015-16,Houston Rockets,82,41,41,0.5
2015-16,Indiana Pacers,82,45,37,0.549
2015-16,LA Clippers,82,53,29,0.646
2015-16,Los Angeles Lakers,82,17,65,0.207
2015-16,Memphis Grizzlies,82,42,40,0.512
2015-16,Miami Heat,82,48,34,0.585
2015-16,Milwaukee Bucks,82,33,49,0.402
2015-16,Minnesota Timberwolves,82,29,53,0.354
2015-16,New Orleans Pelicans,82,30,52,0.366
2015-16,New York Knicks,82,32,50,0.39
2015-16,Oklahoma City Thunder,82,55,27,0.671
2015-16,Orlando Magic,82,35,47,0.427
2015-16,Philadelphia 76ers,82,10,72,0.122
2015-16,Phoenix Suns,82,23,59,0.28
2015-16,Portland Trail Blazers,82,44,38,0.537
2015-16,Sacramento Kings,82,33,49,0.402
2015-16,San Antonio Spurs,82,67,15,0.817
2015-16,Toronto Raptors,82,56,26,0.683
2015-16,Utah Jazz,82,40,42,0.488
2015-16,Washington Wizards,82,41,41,0.5
2014-15,Atlanta Hawks,82,60,22,0.732
2014-15,Boston Celtics,82,40,42,0.488
2014-15,Brooklyn Nets,82,38,44,0.463
2014-15,Charlotte Hornets,82,33,49,0.402
2014-15,Chicago Bulls,82,50,32,0.61
2014-15,Cleveland Cavaliers,82,53,29,0.646
2014-15,Dallas Mavericks,82,50,32,0.61
2014-15,Denver Nuggets,82,30,52,0.366
2014-15,Detroit Pistons,82,32,50,0.39
2014-15,Golden State Warriors,82,67,15,0.817
2014-15,Houston Rockets,82,56,26,0.683
2014-15,Indiana Pacers,82,38,44,0.463
2014-15,Los Angeles Clippers,82,56,26,0.683
2014-15,Los Angeles Lakers,82,21,61,0.256
2014-15,Memphis Grizzlies,82,55,27,0.671
2014-15,Miami Heat,82,37,45,0.451
2014-15,Milwaukee Bucks,82,41,41,0.5
2014-15,Minnesota Timberwolves,82,16,66,0.195
2014-15,New Orleans Pelicans,82,45,37,0.549
2014-15,New York Knicks,82,17,65,0.207
